Date,log_return,rolling_vol,kmeans_regime,regime_name,hmm_state,hmm_regime,p_sideways,p_bull,p_bear
2010-02-01,0.01589121037660402,0.011072586520140655,1,Sideways,1,Bull,4.6982222796277314e-15,1.0,3.465850239152733e-58
2010-02-02,-0.006838182335258887,0.010866982683872607,1,Sideways,0,Sideways,0.9861267789952577,0.01167650449537082,0.0021967165077001723
2010-02-03,-0.001431740634279153,0.010750301916967657,1,Sideways,1,Bull,0.012579361556597295,0.9848613282870496,0.0025593101546683506
2010-02-04,-0.029574832458669206,0.012515028593623639,0,Bear,2,Bear,0.4777904257922378,0.023409687031123186,0.4987998871765237
2010-02-05,-0.03830098561608473,0.014997046463381826,0,Bear,2,Bear,0.009500577710744012,0.4773903362323018,0.5131090860571875
2010-02-08,-0.030015549611181105,0.015922557037839374,0,Bear,2,Bear,0.4444301078332151,0.02107076446456032,0.5344991277016519
2010-02-09,0.017725805549842506,0.01663362797856615,1,Sideways,2,Bear,0.042198043368550195,0.46437118861652715,0.49343076801454494
2010-02-10,-0.005106893272503457,0.015936233522440488,0,Bear,2,Bear,0.47308958097465675,0.05643062174979052,0.47047979727662786
2010-02-11,0.01595936155685458,0.01650087199943094,1,Sideways,2,Bear,0.06088763881552036,0.47760978918070573,0.46150257200382594
2010-02-12,-0.006192590759780655,0.016339595034059073,0,Bear,2,Bear,0.45184615001846484,0.06883389870820117,0.4793199512720663
2010-02-15,0.005285217676714121,0.01617659053580528,1,Sideways,2,Bear,0.06457898104029988,0.4528770381186782,0.482543980840383
2010-02-16,0.008034379389585268,0.016049670591322444,1,Sideways,2,Bear,0.318566552539781,0.06996969226505836,0.6114637551966088
2010-02-17,0.029039832930229954,0.017514504741426982,2,Bull,2,Bear,0.010803299086943108,0.3181014398963776,0.671095261015335
2010-02-18,-0.015578801561499742,0.017775431929204076,0,Bear,2,Bear,0.10374190138985333,0.012587336499168338,0.8836707621124432
2010-02-19,0.01643633760668409,0.017526641667464964,1,Sideways,2,Bear,0.0047074221622551374,0.10385815774093984,0.891434420096148
2010-02-22,-0.013711657441471181,0.01770393407026095,0,Bear,2,Bear,0.007684984302453938,0.005404576215662878,0.9869104394834854
2010-02-23,-0.022620055796741624,0.01830395052237157,0,Bear,2,Bear,8.162938076296088e-06,0.0076073544387006585,0.9923844826225768
2010-02-24,-0.03476930910252825,0.019658051233872282,0,Bear,2,Bear,3.003488402016146e-06,1.0395179790606888e-05,0.9999866013301429
